,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Date
267,Pro,17140,17471,224908,102872,354984,379243,440989,410593,143428,196340,346596,136991,2021-05-11
268,Client,167220,107953,995428,277606,584092,600441,614081,794928,720291,230385,419976,310747,2021-05-12
269,DII,3186,36669,39945,1079761,267,18266,0,0,0,0,37688,0,2021-05-12
270,FII,47185,70314,792375,604194,217183,317034,134056,148253,47862,48577,72483,47795,2021-05-12
271,Pro,16734,19389,235543,101730,177260,217824,230665,210384,147899,218530,385905,138950,2021-05-12
272,Client,164495,106916,991203,265298,925536,776513,967116,1009557,799413,233909,460284,322060,2021-05-14
273,DII,3186,36151,37013,1078128,267,18266,0,0,0,0,43439,0,2021-05-14
274,FII,47241,66197,787849,612531,301507,371077,185823,191277,51305,50723,79009,51256,2021-05-14
275,Pro,15782,21440,238642,98750,317140,328304,391511,293326,149676,228004,417662,139320,2021-05-14
276,Client,172845,103056,996711,261607,807999,1243329,952993,1331908,784850,253707,475242,322450,2021-05-17
277,DII,3186,39504,39405,1089306,267,20266,0,0,0,0,44588,0,2021-05-17
278,FII,54585,63964,800286,610940,289008,387567,167093,258287,55986,52727,81157,53986,2021-05-17
279,Pro,12673,36765,231790,106339,363739,424004,340927,484971,163535,217320,403384,147318,2021-05-17
280,Client,144828,117359,998079,231398,945791,1342018,1044717,1410018,755753,270761,473775,321804,2021-05-18
281,DII,3160,41460,38770,1092091,267,24587,0,0,0,0,52248,0,2021-05-18
282,FII,74158,54290,802609,622429,375999,428581,215122,284321,59160,55458,83307,55854,2021-05-18
283,Pro,18002,27039,222298,115838,355593,405577,417811,506424,177239,214318,382822,162879,2021-05-18
284,Client,143433,114676,1016219,235182,1192007,1306360,1232066,1418317,803048,269093,497068,330159,2021-05-19
285,DII,3172,40460,41142,1090690,267,26587,0,0,0,0,53646,0,2021-05-19
286,FII,72023,50088,797624,634838,388700,431150,234850,283793,63582,60050,90752,58162,2021-05-19
287,Pro,16811,30215,224165,118440,375585,428743,489643,490730,176606,223073,401770,163895,2021-05-19
288,Client,137595,105918,1030969,233619,651164,653668,703630,859410,854651,259916,519527,339191,2021-05-20
289,DII,3174,37460,43012,1090883,267,26569,0,0,0,0,55734,0,2021-05-20
290,FII,69743,56880,793398,655055,256086,356690,142026,172040,66149,60417,94501,57520,2021-05-20
291,Pro,18624,28878,238372,126194,180619,216294,242480,221771,176984,235476,428022,159098,2021-05-20
292,Client,138613,120834,1044777,209827,733918,1015926,837416,1151555,764204,273373,492608,335447,2021-05-21
293,DII,3172,41460,43012,1090449,267,27069,0,0,0,0,56810,0,2021-05-21
294,FII,74694,48141,799092,677329,323382,371955,195685,210244,66488,60650,89258,57133,2021-05-21
295,Pro,26464,32508,232670,141946,274912,278979,299378,332130,193034,224680,385050,166123,2021-05-21
296,Client,138407,121189,1057017,205221,977782,1123791,1003215,1265476,742085,268757,477979,331518,2021-05-24
297,DII,3364,44810,41999,1088264,267,32538,0,0,0,0,57982,0,2021-05-24
298,FII,70686,47771,797053,696275,323968,375791,206627,208280,61788,57101,81786,53522,2021-05-24
299,Pro,30516,29203,236117,142426,286041,289688,378216,348052,193174,227770,379300,168588,2021-05-24
300,Client,130667,125248,1063445,188506,1171167,1129943,1177591,1304269,714184,263833,464147,333126,2021-05-25
301,DII,3369,43810,41762,1087270,267,42113,0,0,0,0,55022,0,2021-05-25
302,FII,91231,55817,771142,697782,347476,400895,218568,222153,56087,51870,75952,52505,2021-05-25
303,Pro,28891,29283,231732,134523,343361,315367,466112,361896,192897,234860,368047,164932,2021-05-25
304,Client,134395,135623,1072080,181218,1217846,1319518,1238884,1448725,635636,249697,430564,327022,2021-05-26
305,DII,3360,43650,41756,1092436,267,43799,0,0,0,0,38821,0,2021-05-26
306,FII,103229,55383,757129,693045,395908,449315,243700,250317,50440,47041,68802,49105,2021-05-26
307,Pro,27043,33371,227885,132151,329225,324826,460662,438416,185380,239479,333269,160090,2021-05-26
308,Client,103993,135711,1042699,145765,505456,567696,574832,702991,353665,110989,224408,192647,2021-05-27
309,DII,1635,43650,29363,1075069,267,42364,0,0,0,0,2831,0,2021-05-27
310,FII,100595,12603,707199,677272,182288,230936,85894,113252,22541,18501,29172,18915,2021-05-27
311,Pro,8539,22798,197093,78248,170067,175171,197352,199924,67085,133379,186880,51307,2021-05-27
312,Client,106141,142409,1049280,150661,804014,807644,858424,960594,461460,142371,282875,228529,2021-05-28
313,DII,1835,44640,30615,1082550,267,45800,0,0,0,0,10645,0,2021-05-28
314,FII,107331,15169,713594,688546,229504,294883,132616,163783,30510,26317,43235,28283,2021-05-28
315,Pro,10490,23579,208848,80580,290263,281871,333008,305821,92653,157896,247868,69772,2021-05-28
316,Client,111395,144947,1049661,163578,880330,1113392,978563,1226124,538359,168197,327520,253057,2021-05-31
317,DII,2263,44549,31285,1078829,267,47812,0,0,0,0,23439,0,2021-05-31
318,FII,101638,15794,716399,698158,242586,325528,127026,190384,38712,31879,53241,34088,2021-05-31
319,Pro,14077,24083,219153,75933,342013,350588,359607,420812,115115,171952,287986,84883,2021-05-31
320,Client,111713,148586,1040919,156187,1164077,1148750,1190350,1293172,594087,178810,354281,269015,2021-06-01
321,DII,2263,44555,31001,1080787,267,50738,0,0,0,0,36803,0,2021-06-01
322,FII,105243,16974,718258,697549,297185,319821,191296,188020,39703,34459,57635,37119,2021-06-01
323,Pro,13907,23011,220251,75906,400798,402742,480681,440859,125229,185963,310300,93098,2021-06-01
324,Client,115020,140227,1046620,158661,1231357,1212443,1260223,1358173,627841,196589,377808,289014,2021-06-02
325,DII,2231,41545,32664,1085753,267,52457,0,0,0,0,41825,0,2021-06-02
326,FII,95707,16842,697989,676991,303486,321293,203692,188529,43636,42927,67381,39426,2021-06-02
327,Pro,10747,25091,223625,79493,375546,375335,446741,414826,138056,194295,322519,105371,2021-06-02
328,Client,113266,149523,1056403,160385,572146,709696,636597,843375,670763,212317,397412,305646,2021-06-03
329,DII,2231,41546,32941,1084079,267,41269,0,0,0,0,46865,0,2021-06-03
330,FII,100607,17134,693534,684502,179864,258665,86114,143091,46854,52208,79449,42753,2021-06-03
331,Pro,14050,21951,227440,81352,180356,219549,209922,242713,148043,202520,341934,118646,2021-06-03
332,Client,115751,150820,1067753,165524,983422,884125,1006084,1087839,726845,226208,425543,323856,2021-06-04
333,DII,2176,41572,33248,1082528,267,44771,0,0,0,0,49490,0,2021-06-04
334,FII,99389,21814,686884,686197,250553,316276,161235,169809,51329,58603,89957,46531,2021-06-04
335,Pro,19346,22456,232887,86523,321284,342464,388207,329988,157826,213394,371010,127818,2021-06-04
336,Client,113842,155816,1074744,168868,1095710,1040485,1130968,1243404,776049,233883,454241,336544,2021-06-07
337,DII,2176,40572,33893,1081347,267,51948,0,0,0,0,60683,0,2021-06-07
338,FII,100358,18494,684284,690157,285036,346591,179312,190492,55861,66892,98463,49875,2021-06-07
339,Pro,20762,22256,233955,86504,356971,362538,427704,367666,166744,218697,385267,133053,2021-06-07
340,Client,117046,154533,1077845,171863,1327213,1103021,1326019,1323779,828507,243724,482100,349785,2021-06-08
341,DII,2170,41578,33934,1077289,267,57602,0,0,0,0,66659,0,2021-06-08
342,FII,100133,19220,678890,689317,311997,359791,210199,190127,57899,70916,104785,51947,2021-06-08
343,Pro,20666,24684,237057,89257,387991,390830,491250,397338,171427,224779,404289,137687,2021-06-08
344,Client,109738,156378,1065416,168407,1554979,1079361,1465622,1294595,893685,231999,504614,362411,2021-06-09
345,DII,2170,40176,31412,1071656,267,56777,0,0,0,0,70797,0,2021-06-09
346,FII,102685,17100,685002,694562,281911,317183,214810,191429,58273,75910,113463,52901,2021-06-09
347,Pro,22638,23577,240609,87814,397696,399050,554421,366347,175086,244123,438170,136720,2021-06-09
348,Client,124370,154441,1069092,185467,619342,731129,686996,886794,900722,260460,520206,370542,2021-06-10
349,DII,2170,40172,31889,1068240,267,58864,0,0,0,0,74038,0,2021-06-10
350,FII,98089,20869,700400,690837,191145,256765,89588,132956,63989,77506,116594,56703,2021-06-10
351,Pro,18766,27913,239808,96645,179765,212265,213935,239273,183855,237403,437728,148124,2021-06-10
352,Client,138067,159653,1078604,202875,963271,966806,1023650,1163202,941422,276422,545334,385392,2021-06-11
353,DII,1792,43167,32566,1066004,267,65454,0,0,0,0,78023,0,2021-06-11
354,FII,95213,19645,706405,695629,248933,293554,160453,163229,66933,82026,123658,57983,2021-06-11
355,Pro,20727,33334,247688,100755,330271,323164,358639,322547,194502,243108,455842,158181,2021-06-11
356,Client,153068,147375,1074753,214147,1092112,1065310,1167141,1271296,980324,278364,570823,396773,2021-06-14
357,DII,1848,42098,32905,1065400,267,63785,0,0,0,0,81022,0,2021-06-14
358,FII,77251,26051,714042,694740,282845,328181,176469,174449,68498,83447,125817,59220,2021-06-14
359,Pro,16716,33359,253262,100675,321830,348192,353444,359723,196708,253983,467868,159801,2021-06-14
360,Client,159877,151472,1077854,227382,1126701,1255717,1218226,1430687,1009504,292454,598150,411429,2021-06-15
361,DII,1868,42098,32669,1065090,267,64683,0,0,0,0,81422,0,2021-06-15
362,FII,78884,27664,724674,697029,298992,323639,188135,179780,71448,87713,129966,62730,2021-06-15
363,Pro,17134,36529,256258,101954,368028,402328,387627,435900,206261,261469,477675,167477,2021-06-15
364,Client,146745,147061,1074949,214375,1460241,1166957,1455867,1422438,1050671,279167,617042,416258,2021-06-16
365,DII,1877,40194,30503,1069856,267,62883,0,0,0,0,83781,0,2021-06-16
366,FII,74416,28796,725464,702833,334029,361790,232964,190968,68595,90345,134243,60301,2021-06-16
367,Pro,19612,26599,256156,100008,421832,424610,527538,402834,200431,267134,484631,160087,2021-06-16
368,Client,144378,146819,1079807,204427,783350,695555,829257,933153,1077175,274317,636114,421614,2021-06-17
369,DII,1871,40107,30559,1075124,267,60573,0,0,0,0,84155,0,2021-06-17
370,FII,73321,30085,731827,717096,206643,295337,94841,122856,65903,89114,133581,57724,2021-06-17
371,Pro,21988,24547,257797,103343,212167,252107,278329,247563,195613,270500,484841,154593,2021-06-17
372,Client,131857,139944,1070742,176590,1046449,901406,1098871,1155729,1026188,256167,608663,404066,2021-06-18
373,DII,1896,37845,30596,1081822,267,56850,0,0,0,0,84026,0,2021-06-18
374,FII,78919,37555,726790,716606,222648,338783,118176,163134,59736,84093,122522,52677,2021-06-18
375,Pro,23294,20622,251885,104995,282843,324666,335160,302842,191068,262687,461781,146204,2021-06-18
376,Client,140841,138105,1080737,173990,1092404,1178483,1171800,1381621,972967,257047,588910,396340,2021-06-21
377,DII,2040,35854,30656,1089673,267,47766,0,0,0,0,81281,0,2021-06-21
378,FII,78689,41591,728186,715547,252118,356970,135975,175821,57418,80997,114969,49191,2021-06-21
379,Pro,20164,26184,249635,110004,333684,394766,370698,420543,194455,252558,439680,145071,2021-06-21
380,Client,144652,148547,1086289,168592,1372496,1140929,1381772,1384401,898864,256654,556698,386802,2021-06-22
381,DII,2036,45836,30896,1086411,267,47766,0,0,0,0,81294,0,2021-06-22
382,FII,83873,35142,728405,720955,337624,398506,192333,180013,55150,73470,104655,47964,2021-06-22
383,Pro,23582,24618,244196,113828,358185,376152,494467,398939,196417,249353,407784,144711,2021-06-22
384,Client,145251,153739,1091379,161254,1627970,1176525,1579855,1450242,793754,242309,497115,373431,2021-06-23
385,DII,2048,48849,32002,1102440,267,44520,0,0,0,0,78458,0,2021-06-23
386,FII,90721,33230,715652,698732,416273,447987,263639,200098,53009,70383,101223,47807,2021-06-23
387,Pro,25651,27853,237553,114160,381128,397580,582144,416272,192625,248741,362592,140195,2021-06-23
388,Client,132834,168820,1078549,130369,608389,617685,674885,748760,394114,133872,252127,237035,2021-06-24
389,DII,2117,54828,16761,1099380,267,15392,0,0,0,0,723,0,2021-06-24
390,FII,115293,25096,659202,657542,171572,206555,84725,113049,13656,16721,22123,12067,2021-06-24
391,Pro,20643,22143,205358,72579,185582,250184,206200,228007,73850,152552,206647,54043,2021-06-24
392,Client,147727,174717,1105880,148896,850092,987241,952931,1148328,505905,167397,318983,276274,2021-06-25
393,DII,2117,56780,18926,1119027,401,17378,0,0,0,0,11813,0,2021-06-25
394,FII,106077,26591,668604,668942,216458,267609,115700,153808,26947,31482,42469,23655,2021-06-25
395,Pro,25738,23571,221706,78251,294552,344676,292872,314768,95893,167998,255480,66948,2021-06-25
396,Client,154963,173721,1131733,158537,1224282,1089588,1272638,1287198,571385,183597,361556,306260,2021-06-28
397,DII,2112,56757,19822,1130063,401,20878,0,0,0,0,23759,0,2021-06-28
398,FII,98981,28166,667808,681925,270901,304125,172830,172375,32426,37515,49926,26384,2021-06-28
399,Pro,25099,22511,233793,82631,381402,391112,431517,346129,110743,185616,279313,74084,2021-06-28
400,Client,162709,174704,1158001,167408,1548586,1072962,1541155,1346423,640100,192705,393372,333299,2021-06-29
401,DII,2053,57275,20217,1145692,401,20378,0,0,0,0,34584,0,2021-06-29
402,FII,85083,30335,665807,697854,330193,358075,227206,183467,35625,41260,57263,29154,2021-06-29
403,Pro,32820,20351,246796,79867,459407,455674,570226,377198,118785,207959,309291,79471,2021-06-29
404,Client,161800,184114,1162902,164182,1658243,1117852,1643110,1402395,680039,200560,417570,346593,2021-06-30
405,DII,2063,57794,22205,1153941,401,21684,0,0,0,0,43157,0,2021-06-30
406,FII,91057,30603,668057,710755,330269,350707,223587,178578,39078,43344,62251,31672,2021-06-30
407,Pro,40205,22614,249022,73308,454383,479696,576598,388966,124823,218984,320962,84623,2021-06-30
408,Client,166694,177005,1173152,167247,907272,760658,939755,1003987,724640,210823,439855,360054,2021-07-01
409,DII,1996,57834,22166,1159827,401,24684,0,0,0,0,52597,0,2021-07-01
410,FII,92819,36058,669970,717991,223493,301210,120550,127693,42421,45325,66841,33734,2021-07-01
411,Pro,30851,21463,253829,74052,241425,320209,312285,275080,130256,227982,338024,90342,2021-07-01
412,Client,166452,176152,1171319,170041,1128978,1028634,1190321,1260653,751440,219865,460197,370763,2021-07-02
413,DII,1945,57834,22378,1165246,401,24684,0,0,0,0,54751,0,2021-07-02
414,FII,87447,29573,672407,714572,214266,302772,137101,154294,45032,47334,71831,35772,2021-07-02
415,Pro,28462,20747,257287,73532,333496,366114,349718,307257,135554,235212,345247,95876,2021-07-02
416,Client,167538,167755,1168899,169225,1158539,1345007,1259746,1525317,759246,231517,474459,372678,2021-07-05
417,DII,1977,59799,22485,1174319,401,24684,0,0,0,0,58339,0,2021-07-05
418,FII,90934,34236,682686,706939,233220,308752,150442,176072,48446,48069,74930,38597,2021-07-05
419,Pro,27148,25807,254639,78226,413885,449197,395856,426251,140992,232432,340956,100743,2021-07-05
420,Client,158694,171939,1160158,177919,1279434,1442659,1354322,1637466,795361,239166,490089,389985,2021-07-06
421,DII,2343,59796,26764,1175026,401,27620,0,0,0,0,59710,0,2021-07-06
422,FII,94864,35258,696645,705998,261125,331708,164135,192725,51707,52671,82200,43387,2021-07-06
423,Pro,32272,21180,257777,82401,440539,508689,463042,480485,147824,246374,362893,104839,2021-07-06
424,Client,164039,171868,1169049,182805,1308226,1672693,1434145,1826929,820367,254246,512346,399600,2021-07-07
425,DII,2353,57794,26398,1180757,401,29154,0,0,0,0,63607,0,2021-07-07
426,FII,88989,33865,697690,705563,293320,378679,192489,240944,54854,56156,86196,47478,2021-07-07
427,Pro,29447,21301,262096,86108,448281,534612,423594,547266,157047,248145,370119,111469,2021-07-07
428,Client,179341,166810,1169208,191769,1011624,844798,1028803,1117125,890506,244937,533757,416067,2021-07-08
429,DII,2377,53007,26887,1176239,401,30070,0,0,0,0,67080,0,2021-07-08
430,FII,80441,61370,689294,708881,217886,344156,131668,153407,56868,60956,96000,49002,2021-07-08
431,Pro,36908,17880,274636,83136,259243,331658,328683,280151,150132,269102,400669,109926,2021-07-08
432,Client,178386,158223,1180169,192773,1373780,1060855,1401776,1395242,917034,252758,553616,419567,2021-07-09
433,DII,2383,53097,25765,1187121,401,26570,0,0,0,0,71910,0,2021-07-09
434,FII,78173,64280,687321,705530,341014,409771,233192,179345,57858,62234,98740,51270,2021-07-09
435,Pro,36678,20020,276618,84449,375577,430737,455804,353346,154207,271078,404833,115233,2021-07-09
436,Client,167837,162001,1179224,194156,1629844,1168075,1619541,1501917,942988,257969,568089,427937,2021-07-12
437,DII,2392,53097,27029,1187097,401,26570,0,0,0,0,72727,0,2021-07-12
438,FII,81265,58317,689536,707946,349631,413833,254574,193431,58858,64494,101911,52996,2021-07-12
439,Pro,39360,17439,279797,86387,443519,449753,549279,362884,156873,276442,415992,117972,2021-07-12
440,Client,165257,162895,1173919,190665,1366804,1559655,1510333,1730859,938119,273972,576350,429951,2021-07-13
441,DII,2453,53097,29271,1188223,401,34570,0,0,0,0,74394,0,2021-07-13
442,FII,94421,40205,696646,704627,340638,387051,229597,236498,61389,65168,102258,55742,2021-07-13
443,Pro,23010,28944,273883,90204,475396,493882,443309,507802,164748,272482,411254,125929,2021-07-13
444,Client,165432,167177,1179114,195014,1408197,1661565,1542439,1833926,957432,287852,592354,435915,2021-07-14
445,DII,2733,53097,29879,1189927,401,34570,0,0,0,0,76282,0,2021-07-14
446,FII,98086,40503,699668,708007,336794,409212,226260,256317,63017,65227,104577,57748,2021-07-14
447,Pro,24273,29747,277336,93049,475574,529086,452267,544190,172480,274062,419716,133478,2021-07-14
448,Client,168850,179361,1186566,202675,812691,997209,943364,1183126,961385,304496,598715,440774,2021-07-15
449,DII,2792,53033,30141,1189898,401,34570,0,0,0,0,77284,0,2021-07-15
450,FII,104884,38453,702775,708322,241271,329749,121124,172757,64525,65914,104505,60579,2021-07-15
451,Pro,25832,31511,283426,102013,281695,329984,271569,335629,183207,275373,428613,144430,2021-07-15
452,Client,168708,176642,1192737,207760,1239683,1221373,1335141,1453171,995659,306563,617087,446862,2021-07-16
453,DII,2698,53898,31447,1200956,401,36570,0,0,0,0,79421,0,2021-07-16
454,FII,98888,45350,706337,704734,296194,391888,191300,213368,64586,67105,106515,60831,2021-07-16
455,Pro,30899,25303,289142,106213,395953,419524,405790,402817,186222,283718,443444,149693,2021-07-16
456,Client,170928,175245,1198207,215792,1878432,1206754,1779486,1521596,1069376,290474,643713,453581,2021-07-19
457,DII,2628,52712,31440,1203174,401,31070,0,0,0,0,81582,0,2021-07-19
458,FII,79511,52284,699233,708022,310688,431783,261848,227058,65289,71342,116518,60285,2021-07-19
459,Pro,48698,21524,300220,102112,457434,481505,605620,402458,180876,296949,473728,144899,2021-07-19
460,Client,185622,181489,1195903,198218,2122029,1191736,1988782,1559730,1088467,280576,651226,451128,2021-07-20
461,DII,2628,51470,33530,1214050,401,26970,0,0,0,0,82848,0,2021-07-20
462,FII,73835,68941,697382,710733,388450,465416,320879,209864,60279,71094,116468,58833,2021-07-20
463,Pro,61254,21439,294898,98712,473460,467827,674678,382354,173326,294262,471530,135971,2021-07-20
464,Client,172158,165680,1196674,199544,1129857,962488,1133525,1210757,1056046,302196,648584,447467,2021-07-22
465,DII,2640,51427,36160,1222612,401,30470,0,0,0,0,84070,0,2021-07-22
466,FII,77360,57881,712079,706404,237863,358257,151726,156609,63470,68578,112955,58528,2021-07-22
467,Pro,45234,22404,289768,106121,256194,290214,339064,274062,182305,283076,456212,147855,2021-07-22
468,Client,154154,151686,1187853,191919,1315328,1307277,1405830,1552105,1021416,310011,639624,446339,2021-07-23
469,DII,2579,51427,39248,1219917,401,28070,0,0,0,0,84198,0,2021-07-23
470,FII,89439,60892,719341,710039,299957,403935,194503,206918,60892,64458,104593,57158,2021-07-23
471,Pro,38754,20921,288830,113397,375872,397860,391224,378119,193672,284506,447565,155478,2021-07-23
472,Client,149865,161416,1193451,186944,1601012,1531035,1637116,1760884,1003381,316653,632467,442751,2021-07-26
473,DII,2201,51421,41019,1222220,401,35916,0,0,0,0,85340,0,2021-07-26
474,FII,88104,59155,726695,709716,320662,420608,235499,244871,61991,62871,101458,57583,2021-07-26
475,Pro,51819,19997,283735,126020,429924,462247,479384,444050,198633,283362,444740,162552,2021-07-26
476,Client,148654,171492,1198373,184774,2096308,1496020,1992775,1802729,970049,308512,608450,434329,2021-07-27
477,DII,2187,50277,42940,1225321,401,32899,0,0,0,0,85295,0,2021-07-27
478,FII,91040,69885,723523,710014,355759,474813,283284,245604,61110,60763,100751,58471,2021-07-27
479,Pro,67406,17633,281086,125813,464025,482823,640433,438221,191946,279815,428609,156290,2021-07-27
480,Client,161693,169317,1195659,175650,2160815,1500254,2060307,1784527,882531,281112,559404,411894,2021-07-28
481,DII,3187,50134,44000,1245278,401,33031,0,0,400,0,80802,0,2021-07-28
482,FII,88789,72059,711524,692887,371896,457316,296311,227804,60818,60613,97834,58955,2021-07-28
483,Pro,57800,19959,278310,115678,474219,506159,650712,484428,189581,277696,395290,148572,2021-07-28
484,Client,130410,150917,1151533,149302,919593,816361,967858,1055935,434827,164208,273540,254965,2021-07-29
485,DII,3148,51787,18724,1233222,401,35776,0,0,400,0,8692,0,2021-07-29
486,FII,108444,49371,679011,633045,226746,323091,130259,127432,20954,25659,35992,22587,2021-07-29
487,Pro,29451,19378,225392,59091,254187,283463,302809,275324,67246,142040,205203,54355,2021-07-29
488,Client,164735,156502,1162658,183705,1313412,1114915,1353880,1398878,542765,191155,335268,297824,2021-07-30
489,DII,3160,54999,19449,1245596,401,47976,0,0,400,0,14828,0,2021-07-30
490,FII,92880,57516,702720,627417,273765,372195,194339,181337,28329,33770,50102,33083,2021-07-30
491,Pro,31915,23673,237491,65600,389604,415110,428962,369980,97727,176758,269023,70776,2021-07-30
492,Client,177166,163481,1168770,196983,1484203,1517394,1605317,1756760,605882,211772,377693,320428,2021-08-02
493,DII,3095,55690,19778,1254576,401,63376,0,0,400,0,21716,0,2021-08-02
494,FII,101643,65599,706346,616893,377154,418748,238979,228673,32510,35547,55669,35663,2021-08-02
495,Pro,33665,30799,242900,69342,489906,490821,507368,504905,118672,192832,302386,84060,2021-08-02
496,Client,184735,176059,1150060,204306,1351992,2209992,1567251,2301660,623272,235449,404703,336879,2021-08-03
497,DII,3061,56520,25658,1238389,401,68583,0,0,400,0,29700,0,2021-08-03
498,FII,120637,53417,711749,615198,451196,521553,261323,321279,36039,37603,57278,38827,2021-08-03
499,Pro,20800,43237,240084,69658,563816,623919,538830,801108,139718,196388,307748,93734,2021-08-03
500,Client,190313,181085,1140363,213051,1454671,2334895,1619724,2394964,680118,250299,430634,352618,2021-08-04
501,DII,3061,61423,31504,1224992,401,60251,0,0,400,0,35833,0,2021-08-04
502,FII,120181,50549,719888,620369,470499,546394,303553,375726,40206,40640,62934,42226,2021-08-04
503,Pro,20552,41050,240515,73858,599845,655655,602138,826504,152515,209681,343838,105776,2021-08-04
504,Client,206358,192588,1160729,230207,870010,1253113,1031928,1416434,754970,252825,463249,361125,2021-08-05
505,DII,3079,64423,33050,1230859,401,67383,0,0,400,0,58876,0,2021-08-05
506,FII,119773,54283,721431,624746,330726,400339,165832,237164,45307,43327,71316,43595,2021-08-05
507,Pro,21792,39708,248391,77789,278215,348785,281592,416021,161486,218818,368722,110250,2021-08-05
508,Client,211412,191472,1170384,236456,1278082,1466058,1417634,1704605,844266,261601,503033,382285,2021-08-06
509,DII,3063,65323,33160,1231422,401,82305,0,0,400,0,73325,0,2021-08-06
510,FII,119224,60589,715836,638241,339292,410716,191226,244233,49442,45280,76306,46639,2021-08-06
511,Pro,23385,39700,265623,78884,417971,495056,426886,505297,167671,238681,409115,116638,2021-08-06
512,Client,216080,194278,1170491,242219,1550453,1769513,1631068,1963997,918014,268128,534683,397358,2021-08-09
513,DII,3079,65424,34806,1225798,401,88305,0,0,297,0,84602,0,2021-08-09
514,FII,118310,57084,715625,642069,316099,386535,195542,247516,50793,46625,79329,48249,2021-08-09
515,Pro,22012,42695,269619,80455,438024,531470,478367,564309,169771,253801,440261,122947,2021-08-09
516,Client,220064,201365,1162571,245795,1741626,1884158,1817601,2100758,960297,276414,557103,407275,2021-08-10
517,DII,8063,65944,35675,1221707,401,88305,0,0,0,0,89936,0,2021-08-10
518,FII,121469,63201,722039,641512,387515,420223,266286,290346,54052,49977,83604,51229,2021-08-10
519,Pro,24879,43965,273532,84803,520963,573628,566617,575210,175592,263931,459298,131818,2021-08-10
520,Client,212974,187501,1160204,242103,2027334,1887290,2070077,2155199,984572,277711,572977,410341,2021-08-11
521,DII,8063,64807,36654,1234522,401,105305,0,0,0,0,92262,0,2021-08-11
522,FII,113387,66179,724896,632211,407868,428299,285373,286775,53907,52294,86088,52382,2021-08-11
523,Pro,26490,42427,270081,82999,538905,602675,619058,581594,171377,261404,458529,128686,2021-08-11
524,Client,224745,200789,1172345,259480,912902,1316956,1075844,1514112,1008281,303377,594898,421163,2021-08-12
525,DII,8063,64987,39155,1235158,401,103005,0,0,0,0,93294,0,2021-08-12
526,FII,116625,58984,736212,637873,289637,359606,135706,224315,57436,54069,88840,55198,2021-08-12
527,Pro,24494,49167,273243,88444,278285,354306,269674,395446,179895,260736,468580,141821,2021-08-12
528,Client,235127,217488,1169579,271020,1211671,1948512,1442869,2089305,1021767,330137,612349,429855,2021-08-13
529,DII,8564,68183,42791,1233609,401,92985,0,0,0,0,96105,0,2021-08-13
530,FII,127384,61812,750169,633013,421491,521118,207526,348667,60852,56622,94817,58482,2021-08-13
531,Pro,25391,48983,270335,95232,429212,504706,412379,629349,190286,254813,469634,153235,2021-08-13
